iter	Passed	Remaining
973	8432	225
974	8441	216
975	8450	207
976	8459	199
977	8468	190
978	8476	181
979	8485	173
980	8493	164
981	8501	155
982	8510	147
983	8519	138
984	8528	129
985	8537	121
986	8545	112
987	8553	103
988	8563	95
989	8572	86
990	8580	77
991	8590	69
992	8598	60
993	8606	51
994	8615	43
995	8624	34
996	8632	25
997	8641	17
998	8649	8
999	8658	0
